name,last_modified,size
VNP02DNB.A2017173.mosaic.002.2022181124935.sgmcgs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017173.mosaic.002.2022181124935.sgmcgs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017173.mosaic.002.2022181124935.sgmcgscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40841
VNP02DNB.A2017173.mosaic.002.2022181124935.sgmcgscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40843
VNP02DNB.A2017173.mosaic.002.2022181124935.sgmcgscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40848
VNP02DNB.A2017173.mosaic.002.2022181124935.sgmcgscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40845
VNP02DNB.A2017173.mosaic.002.2022181124935.sgmcgscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40846
VNP02DNB.A2017174.mosaic.002.2022181125153.sgmcgs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017174.mosaic.002.2022181125153.sgmcgs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017174.mosaic.002.2022181125153.sgmcgscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40841
VNP02DNB.A2017174.mosaic.002.2022181125153.sgmcgscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40843
VNP02DNB.A2017174.mosaic.002.2022181125153.sgmcgscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40848
VNP02DNB.A2017174.mosaic.002.2022181125153.sgmcgscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40845
VNP02DNB.A2017174.mosaic.002.2022181125153.sgmcgscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40846
VNP02DNB.A2017175.mosaic.002.2022181125638.sgmcgs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017175.mosaic.002.2022181125638.sgmcgs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017175.mosaic.002.2022181125638.sgmcgscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40841
VNP02DNB.A2017175.mosaic.002.2022181125638.sgmcgscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40843
VNP02DNB.A2017175.mosaic.002.2022181125638.sgmcgscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40848
VNP02DNB.A2017175.mosaic.002.2022181125638.sgmcgscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40845
VNP02DNB.A2017175.mosaic.002.2022181125638.sgmcgscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40846
VNP02DNB.A2017176.mosaic.002.2022181125436.sggs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017176.mosaic.002.2022181125436.sggs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017176.mosaic.002.2022181125436.sggscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40837
VNP02DNB.A2017176.mosaic.002.2022181125436.sggscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40839
VNP02DNB.A2017176.mosaic.002.2022181125436.sggscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40844
VNP02DNB.A2017176.mosaic.002.2022181125436.sggscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40841
VNP02DNB.A2017176.mosaic.002.2022181125436.sggscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40842
VNP02DNB.A2017177.mosaic.002.2022181124658.sgmcgs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017177.mosaic.002.2022181124658.sgmcgs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017177.mosaic.002.2022181124658.sgmcgscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40842
VNP02DNB.A2017177.mosaic.002.2022181124658.sgmcgscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40844
VNP02DNB.A2017177.mosaic.002.2022181124658.sgmcgscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40849
VNP02DNB.A2017177.mosaic.002.2022181124658.sgmcgscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40846
VNP02DNB.A2017177.mosaic.002.2022181124658.sgmcgscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40847
VNP02DNB.A2017178.mosaic.002.2022181124952.sgmcgs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017178.mosaic.002.2022181124952.sgmcgs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017178.mosaic.002.2022181124952.sgmcgscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40841
VNP02DNB.A2017178.mosaic.002.2022181124952.sgmcgscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40843
VNP02DNB.A2017178.mosaic.002.2022181124952.sgmcgscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40848
VNP02DNB.A2017178.mosaic.002.2022181124952.sgmcgscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40845
VNP02DNB.A2017178.mosaic.002.2022181124952.sgmcgscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40846
VNP02DNB.A2017179.mosaic.002.2022181125059.sgmcgs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017179.mosaic.002.2022181125059.sgmcgs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017179.mosaic.002.2022181125059.sgmcgscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40841
VNP02DNB.A2017179.mosaic.002.2022181125059.sgmcgscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40843
VNP02DNB.A2017179.mosaic.002.2022181125059.sgmcgscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40848
VNP02DNB.A2017179.mosaic.002.2022181125059.sgmcgscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40845
VNP02DNB.A2017179.mosaic.002.2022181125059.sgmcgscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40846
VNP02DNB.A2017180.mosaic.002.2022181125356.sgmcgs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017180.mosaic.002.2022181125356.sgmcgs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017180.mosaic.002.2022181125356.sgmcgscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40841
VNP02DNB.A2017180.mosaic.002.2022181125356.sgmcgscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40843
VNP02DNB.A2017180.mosaic.002.2022181125356.sgmcgscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40848
VNP02DNB.A2017180.mosaic.002.2022181125356.sgmcgscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40845
VNP02DNB.A2017180.mosaic.002.2022181125356.sgmcgscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40846
VNP02DNB.A2017181.mosaic.002.2022181125148.sggs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017181.mosaic.002.2022181125148.sggs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017181.mosaic.002.2022181125148.sggscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40837
VNP02DNB.A2017181.mosaic.002.2022181125148.sggscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40839
VNP02DNB.A2017181.mosaic.002.2022181125148.sggscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40844
VNP02DNB.A2017181.mosaic.002.2022181125148.sggscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40841
