name,last_modified,size
VNP02DNB.A2017158.mosaic.002.2022181125405.sgmcgscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40846
VNP02DNB.A2017158.mosaic.002.2022181125405.sgmcgscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40847
VNP02DNB.A2017159.mosaic.002.2022181124712.sgmcgs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017159.mosaic.002.2022181124712.sgmcgs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017159.mosaic.002.2022181124712.sgmcgscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40842
VNP02DNB.A2017159.mosaic.002.2022181124712.sgmcgscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40844
VNP02DNB.A2017159.mosaic.002.2022181124712.sgmcgscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40849
VNP02DNB.A2017159.mosaic.002.2022181124712.sgmcgscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40846
VNP02DNB.A2017159.mosaic.002.2022181124712.sgmcgscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40847
VNP02DNB.A2017160.mosaic.002.2022181125037.sggs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017160.mosaic.002.2022181125037.sggs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017160.mosaic.002.2022181125037.sggscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40838
VNP02DNB.A2017160.mosaic.002.2022181125037.sggscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40840
VNP02DNB.A2017160.mosaic.002.2022181125037.sggscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40845
VNP02DNB.A2017160.mosaic.002.2022181125037.sggscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40842
VNP02DNB.A2017160.mosaic.002.2022181125037.sggscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40843
VNP02DNB.A2017161.mosaic.002.2022181124643.sgmcgs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017161.mosaic.002.2022181124643.sgmcgs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017161.mosaic.002.2022181124643.sgmcgscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40841
VNP02DNB.A2017161.mosaic.002.2022181124643.sgmcgscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40843
VNP02DNB.A2017161.mosaic.002.2022181124643.sgmcgscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40848
VNP02DNB.A2017161.mosaic.002.2022181124643.sgmcgscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40845
VNP02DNB.A2017161.mosaic.002.2022181124643.sgmcgscs_000501803195.scan_state_flags.hdf,2022-06-30 13:11,40846
VNP02DNB.A2017162.mosaic.002.2022181124803.sgmcgs_000501803195.DNB_observations-DNB_observations.tif,2022-06-30 13:11,2115272
VNP02DNB.A2017162.mosaic.002.2022181124803.sgmcgs_000501803195.DNB_quality_flags-DNB_quality_flags.tif,2022-06-30 13:11,1060328
VNP02DNB.A2017162.mosaic.002.2022181124803.sgmcgscs_000501803195.ev_mid_time.hdf,2022-06-30 13:11,40841
VNP02DNB.A2017162.mosaic.002.2022181124803.sgmcgscs_000501803195.scan_end_time.hdf,2022-06-30 13:11,40843
VNP02DNB.A2017162.mosaic.002.2022181124803.sgmcgscs_000501803195.scan_quality_flags.hdf,2022-06-30 13:11,40848
VNP02DNB.A2017162.mosaic.002.2022181124803.sgmcgscs_000501803195.scan_start_time.hdf,2022-06-30 13:11,40845
